id,date,message,sender_id
3418,2025-01-16T10:34:04+00:00,adidas CAMPUS Size 36#37#38#39 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3417,2025-01-15T09:51:55+00:00,adidas CAMPUS Size 40#41#42#43 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3416,2025-01-14T13:56:55+00:00,NIKE ZOOM 2024 Size 40#41#42#43 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3415,2025-01-13T11:03:41+00:00,NIKE VOMERO Size 40#41#42#43#44 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3414,2025-01-11T08:09:00+00:00,SKECHERS GO RUN Size 36#37#38#39#40 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3412,2025-01-09T10:31:45+00:00,Lv Trainer 54 Size 40#41#42#43#44 MADE IN ITALY SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3410,2025-01-08T12:15:59+00:00,SKECHERS OUTDOOR Size 36#37#38#39 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3409,2025-01-07T07:02:47+00:00,""" ከዕለት ከሰዓት አስቀድሞ የነበረ ቀዳማዊ ሲሆን የአለም መድሀኒት እነሆ ዛሬ ተወለደ እንኳን ለጌታችን ለመድሃኒታችን ለእየሱስ ክርስቶስ የልደት በአል በሰላም በፍቅር አደረሳችሁ አደረሰን በአሉ የሰላም የፍቅር የመተሳሰብ እንዲሆንላችሁ ይመኛል shewa brand መልካም በአል",-1001237900032
3408,2025-01-04T15:14:50+00:00,ALLSTAR CONVERSE lezear Size 40#41#42#43 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
3407,2025-01-04T06:46:32+00:00,NIKE HOT STEP air terra Size 40#41#42#43 MADE IN VIETNAM SHEWA BRAND አድራሻ ድሬዳዋ አሸዋ ሚና ህንፃ 1ኛ ፎቅ ላይ እንገኛለን የቴሌግራም ቻናላችንን ይቀላቀሉ 👇👇👇 https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand https://t.me//shewabrand የቤት ቁጥር 109 እና 110 📩በ inbox @shewat2 አዋሩን 📞 0987336458 📞0948595409 ይደውሉልን,-1001237900032
